gene_symbol	ensembl_gene_id	total_nominations	first_nomination_year	nominating_teams	input_data	validation_details	pharos_class	in_snapshot	our_rank	overall_score	genetic_score	mutation_freq	expr_log2fc	prot_log2fc	chronos	frac_dependent	loeuf	druggability_score	tractability_modalities	max_disease_phase	n_disease_trials	n_publications	velocity	tissue_tau	target_class	is_common_essential	surface_or_secreted	winner_snapshot	rwr_snapshot	winner_global	winner_global_rank	string_degree	axes_with_data
SLC38A2	ENSG00000134294	1	2019	Chang Lab	Genetics; RNA		Tbio	yes	5117	0.027206781040725048			1.033				0.296037928844933	0.3	2			71	0.5774647887323944	0.31	Unclassified protein	false	true			0.020409	9712	55	6
SLC4A10	ENSG00000144290	1	2018	MSSM - Zhang Lab	Genetics; RNA	validation studies ongoing	Tbio	yes	5674	0.021940606891110232	0.03204008746085029		-0.158				0.3944215929449907	0.3	2			56	0.44642857142857145	0.8365		false	true			0.007204	14959	23	6
SLC5A3	ENSG00000198743	1	2019	Chang Lab	Genetics; RNA		Tbio	yes	6290	0.01928782045542363			1.993				0.39296966401146954	0.3	3			56	0.2857142857142857	0.5141		false	true			0.009290	13721	26	6
SLC7A11	ENSG00000151012	1	2025	IUSM-Purdue	RNA	Validation studies ongoing	Tchem	yes	2198	0.090336869765046			1.026				0.8515285129438112	0.3	3			406	0.5960591133004927	0.6471	SLC superfamily of solute carriers	false	true			0.038552	6120	106	6
SLC7A7	ENSG00000155465	1	2022	IUSM-Purdue	RNA	not prioritized for experimental validation	Tbio	yes	4436	0.03599071285990372			0.459				1.0633727870329985	0.3	2			47	0.2765957446808511	0.6156		false	true			0.015914	11048	47	6
SLC8A2	ENSG00000118160	1	2018	Emory	Protein	not prioritized for experimental validation	Tbio	yes	4753	0.03143524841212061			-0.85				0.3119446989061262	0.3	2			34	0.38235294117647056	0.7858		false	true			0.016165	10954	43	6
SLC9A7	ENSG00000065923	1	2023	MSSM - Roussos Lab	RNA	Not prioritized for experimental validation 	Tbio	yes	5271	0.025800767729078654			-0.921					0.3	2			20	0.35	0.5715		false	true			0.012266	12308	35	5
SLCO1A2	ENSG00000084453	1	2018	Mayo-UFL-ISB	RNA	not prioritized for experimental validation	Tbio	yes	5694	0.021770970554713883			1.364				1.1902015778296584	0.3	1			69	0.3188405797101449	0.8314	Transporter	false	true			0.044714	5272	114	6
SLCO2B1	ENSG00000137491	1	2022	IUSM-Purdue	RNA	not prioritized for experimental validation	Tchem	yes	6291	0.005274315170633677			1.011				0.7909927585067859	0.3	3			56	0.3392857142857143	0.3918	Transporter	false	true			0.025326	8525	70	6
SLITRK4	ENSG00000179542	1	2018	MSSM - Zhang Lab	Genetics; RNA	not prioritized for experimental validation	Tdark	yes	6292	0.006466843266498274			-0.976				0.37879281723873165	0.3	3			13	0.3076923076923077	0.7213		false	true			0.002901	18079	9	6
