gene	winner_norm	winner_raw	rank	degree
KCTD4	0.002705	2.361866e+0	18211	9
ZNF813	0.002704	2.361527e+0	18212	8
E9PBE3_HUMAN	0.002701	2.358877e+0	18213	7
VSIG10L	0.002700	2.357530e+0	18214	10
TMEM87B	0.002700	2.357493e+0	18215	8
ANKRD53	0.002698	2.356330e+0	18216	9
NXPE4	0.002697	2.355227e+0	18217	8
FCRL6	0.002696	2.354817e+0	18218	9
SCAMP4	0.002696	2.354739e+0	18219	9
ARMCX6	0.002695	2.353557e+0	18220	9
LRRN4	0.002693	2.351554e+0	18221	8
ZNF517	0.002690	2.348786e+0	18222	8
OCLM	0.002687	2.346243e+0	18223	7
FAM228A	0.002686	2.345760e+0	18224	10
PDGFRL	0.002686	2.345326e+0	18225	8
ZNF680	0.002684	2.343923e+0	18226	9
ZNF503	0.002680	2.340748e+0	18227	9
DNASE1L3	0.002679	2.339403e+0	18228	8
SPATA31A7	0.002672	2.333360e+0	18229	7
ZNF337	0.002670	2.331314e+0	18230	9
ILRUN	0.002669	2.331016e+0	18231	8
ZNF790	0.002669	2.330869e+0	18232	9
SLC25A2	0.002662	2.324657e+0	18233	8
TTC39A	0.002661	2.323748e+0	18234	9
PAPLN	0.002661	2.323550e+0	18235	9
TEX47	0.002658	2.320834e+0	18236	8
STK17A	0.002654	2.317580e+0	18237	8
HMGXB3	0.002653	2.316514e+0	18238	8
ART4	0.002652	2.315726e+0	18239	10
POU5F2	0.002651	2.315439e+0	18240	9
SPATA31D1	0.002651	2.315195e+0	18241	9
CCDC82	0.002650	2.314654e+0	18242	9
SSUH2	0.002650	2.313914e+0	18243	9
ZNF195	0.002649	2.313667e+0	18244	8
ZNF43	0.002649	2.313045e+0	18245	9
PCDHA12	0.002647	2.311604e+0	18246	6
ENSP00000496158	0.002644	2.308959e+0	18247	5
HELT	0.002644	2.308937e+0	18248	7
ZNF678	0.002637	2.303307e+0	18249	7
C21ORF91	0.002637	2.302452e+0	18250	9
FAM184A	0.002636	2.302078e+0	18251	8
SPANXN2	0.002635	2.301124e+0	18252	9
DCST2	0.002635	2.300915e+0	18253	7
ZNF860	0.002633	2.299397e+0	18254	8
SCRN3	0.002633	2.299256e+0	18255	9
CRIP3	0.002633	2.299235e+0	18256	8
GCSAML	0.002629	2.295779e+0	18257	9
ZNF23	0.002625	2.292279e+0	18258	7
ZNF727	0.002623	2.291081e+0	18259	8
ZNF92	0.002623	2.291074e+0	18260	7
THEM6	0.002623	2.290840e+0	18261	9
SERPINB11	0.002622	2.290213e+0	18262	9
ENSP00000494667	0.002621	2.288508e+0	18263	8
TRIM49C	0.002620	2.288454e+0	18264	7
AGAP5	0.002620	2.288346e+0	18265	9
OR4F3	0.002620	2.288002e+0	18266	8
ZSCAN5A	0.002619	2.286791e+0	18267	8
DBNDD2	0.002614	2.282728e+0	18268	8
LGALSL	0.002614	2.282548e+0	18269	9
CYB561A3	0.002612	2.281431e+0	18270	8
CPNE2	0.002611	2.280432e+0	18271	8
SEC14L5	0.002611	2.280383e+0	18272	8
NPIPA7	0.002611	2.280080e+0	18273	8
CRYAA2	0.002610	2.278877e+0	18274	7
H3BML4_HUMAN	0.002607	2.276859e+0	18275	8
PLD5	0.002607	2.276420e+0	18276	8
CCDC185	0.002601	2.271452e+0	18277	8
REM2	0.002599	2.269879e+0	18278	8
TMEM169	0.002599	2.269787e+0	18279	9
NBPF19	0.002598	2.268458e+0	18280	7
TMEM233	0.002597	2.267849e+0	18281	8
TMPRSS5	0.002595	2.266168e+0	18282	9
ABCA9	0.002595	2.265845e+0	18283	7
SLC10A6	0.002593	2.264137e+0	18284	8
FAM110D	0.002591	2.262449e+0	18285	9
ZNF548	0.002590	2.262228e+0	18286	8
CCDC159	0.002589	2.261267e+0	18287	8
KIAA1211L	0.002589	2.261215e+0	18288	9
ZNF568	0.002589	2.261113e+0	18289	7
ZSWIM9	0.002585	2.257357e+0	18290	8
VAT1	0.002584	2.256762e+0	18291	8
PCDHGA8	0.002580	2.253060e+0	18292	6
NT5DC3	0.002580	2.252975e+0	18293	8
SLC43A3	0.002580	2.252695e+0	18294	9
ENSP00000498010	0.002579	2.252611e+0	18295	4
TMEM52	0.002577	2.250757e+0	18296	8
ANGPTL7	0.002576	2.249946e+0	18297	8
TMEM252	0.002574	2.248213e+0	18298	9
CDK2AP2	0.002573	2.246832e+0	18299	8
C1ORF52	0.002570	2.244609e+0	18300	9
NBPF26	0.002570	2.244307e+0	18301	8
C4ORF46	0.002568	2.242712e+0	18302	7
MMD	0.002567	2.241660e+0	18303	8
ASPHD2	0.002565	2.240128e+0	18304	8
C12ORF75	0.002563	2.238214e+0	18305	8
EML6	0.002561	2.236635e+0	18306	8
ENPP5	0.002557	2.232753e+0	18307	9
MUSTN1	0.002557	2.232587e+0	18308	8
SLC45A4	0.002553	2.229874e+0	18309	8
ETV3L	0.002553	2.229331e+0	18310	9
NXPH3	0.002552	2.228371e+0	18311	8
CACFD1	0.002551	2.228082e+0	18312	9
ANXA2R	0.002551	2.227961e+0	18313	6
RNF141	0.002548	2.225045e+0	18314	9
CCER2	0.002545	2.222934e+0	18315	9
CBWD5	0.002545	2.222650e+0	18316	8
MANBAL	0.002544	2.221798e+0	18317	9
ANKRD18B	0.002541	2.219182e+0	18318	8
MIDN	0.002541	2.218751e+0	18319	8
HSPE1-MOB4	0.002540	2.218358e+0	18320	5
MORN2	0.002540	2.217937e+0	18321	8
NREP	0.002537	2.215155e+0	18322	8
TMEM121B	0.002532	2.211002e+0	18323	8
TMEM35B	0.002531	2.210368e+0	18324	8
ZNF440	0.002531	2.209875e+0	18325	7
RIIAD1	0.002528	2.207578e+0	18326	8
ZNF322	0.002528	2.207440e+0	18327	8
SEC14L2	0.002526	2.205555e+0	18328	8
GREB1L	0.002525	2.204658e+0	18329	8
CT62	0.002520	2.200270e+0	18330	8
CRYBG3	0.002517	2.198175e+0	18331	7
PRAC1	0.002516	2.197176e+0	18332	6
SBK2	0.002515	2.196477e+0	18333	8
ADAM7	0.002514	2.195259e+0	18334	8
TTC34	0.002511	2.193149e+0	18335	8
NPIPB11	0.002510	2.191842e+0	18336	9
MAPKBP1	0.002507	2.188945e+0	18337	8
TMEM42	0.002506	2.188626e+0	18338	8
PCDHGA1	0.002505	2.187919e+0	18339	8
RASGEF1B	0.002503	2.185927e+0	18340	7
LBHD1	0.002499	2.182096e+0	18341	7
CAPRIN2	0.002496	2.179725e+0	18342	7
ERVV-2	0.002496	2.179442e+0	18343	8
ZNF726	0.002494	2.178087e+0	18344	8
TEX52	0.002493	2.176847e+0	18345	8
BARX2	0.002492	2.175991e+0	18346	7
FTCDNL1	0.002490	2.174766e+0	18347	7
C8ORF74	0.002489	2.173947e+0	18348	8
C3ORF38	0.002489	2.173500e+0	18349	7
MPZL3	0.002488	2.172806e+0	18350	7
CCDC87	0.002487	2.171905e+0	18351	8
FAM24A	0.002487	2.171807e+0	18352	7
C9ORF152	0.002485	2.170574e+0	18353	8
CTAG1A	0.002485	2.169805e+0	18354	7
TMBIM1	0.002484	2.169567e+0	18355	7
STK32C	0.002483	2.168694e+0	18356	8
CT47B1	0.002481	2.167041e+0	18357	7
PCDHAC2	0.002481	2.167008e+0	18358	8
DCBLD1	0.002481	2.166648e+0	18359	8
ZNF679	0.002479	2.164904e+0	18360	8
DUSP28	0.002477	2.163240e+0	18361	8
ZNF260	0.002476	2.162360e+0	18362	8
C2ORF73	0.002470	2.156606e+0	18363	8
SLC10A5	0.002469	2.156092e+0	18364	8
ENSP00000496470	0.002465	2.152492e+0	18365	6
M0QYG6_HUMAN	0.002464	2.151441e+0	18366	8
CT47A11	0.002463	2.151234e+0	18367	9
SHISAL1	0.002461	2.149293e+0	18368	8
EEF1AKMT4	0.002460	2.148103e+0	18369	6
PCDHA1	0.002458	2.146378e+0	18370	5
ZBED6	0.002458	2.146189e+0	18371	6
PRSS35	0.002456	2.145228e+0	18372	8
C3ORF80	0.002456	2.144993e+0	18373	8
OVCH2	0.002456	2.144774e+0	18374	7
ADM5	0.002456	2.144400e+0	18375	7
ZNF410	0.002453	2.142571e+0	18376	8
EHF	0.002452	2.141181e+0	18377	8
ZNF506	0.002450	2.140006e+0	18378	8
TEX13D	0.002449	2.139013e+0	18379	8
